first_name,second_name,now_cost,predicted_performance,total_points,points_per_million
Yves,Bissouma,5.0,38.24,34.0,7.648000000000001
Harry,Maguire,5.0,34.52,38.0,6.904000000000001
Kalvin,Phillips,5.0,33.96,35.0,6.792
Kristoffer,Ajer,4.5,30.52,30.0,6.782222222222222
Yankuba,Minteh,5.5,36.01,54.0,6.547272727272727
Willy,Boly,4.5,28.34,38.0,6.297777777777778
Seamus,Coleman,4.4,26.745,32.0,6.078409090909091
Nelson,Cabral Semedo,4.5,26.795,34.0,5.954444444444444
Micky,van de Ven,4.5,26.785,29.0,5.952222222222222
Mario,Lemina,5.0,29.65,34.0,5.93
Joel,Veltman,4.5,26.61,30.0,5.913333333333333
Ola,Aina,4.4,25.57,24.0,5.811363636363636
Bart,Verbruggen,4.5,25.3,20.0,5.622222222222223
Leon,Bailey,6.4,34.46,33.0,5.3843749999999995
Alphonse,Areola,4.5,22.87,15.0,5.082222222222223
Martin,Odegaard,8.3,41.8,61.0,5.036144578313253
Jamie,Vardy,5.6,27.62,38.0,4.932142857142858
Adam,Wharton,4.9,23.58,25.0,4.812244897959183
Mats,Wieffer,5.0,19.54,19.0,3.908
Edson,Alvarez Velazquez,5.0,19.5,19.0,3.9
Yerson,Mosquera,4.0,14.895,13.0,3.72375
Mateo,Kovacic,5.5,20.45,17.0,3.7181818181818183
Emil,Krafth,4.5,16.215,17.0,3.6033333333333335
Ashley,Young,4.5,16.04,17.0,3.5644444444444443
Pedro,Porro,5.5,16.965,17.0,3.0845454545454545
Arijanet,Muric,4.4,12.13,5.0,2.756818181818182
Anthony,Elanga,5.4,14.87,17.0,2.7537037037037035
Rayan,AIt-Nouri,4.5,11.12,3.0,2.471111111111111
Rodrigo,Bentancur,5.0,11.82,1.0,2.364
Niclas,Fullkrug,6.8,14.295,14.0,2.102205882352941
Omari,Giraud-Hutchinson,5.4,10.27,8.0,1.9018518518518517
Ryan,Yates,5.0,8.08,9.0,1.616
Cole,Palmer,10.6,16.45,15.0,1.5518867924528301
Dominic,Solanke-Mitchell,7.5,11.52,11.0,1.536
Ollie,Watkins,8.9,13.03,20.0,1.4640449438202245
Jack,Grealish,6.4,8.06,10.0,1.259375
James,Tarkowski,4.9,5.975,0.0,1.2193877551020407
Erling,Haaland,15.2,15.535,17.0,1.0220394736842107
Will,Hughes,4.9,3.66,-3.0,0.746938775510204
Jefferson,Lerma Solis,4.9,3.01,2.0,0.6142857142857142
Ibrahim,Sangare,4.5,1.05,0.0,0.23333333333333334
Savio Savinho,Moreira de Oliveira,6.5,1.05,0.0,0.16153846153846155
